station_id,station_name,lat,lng,member,casual,rides
20119,Elizabeth St & 92nd St,41.7267998686626,-87.6542920861901,21,68,89
20118,Eggleston Ave & 92nd St,41.7275792518292,-87.6348303129455,16,138,154
24130,Western Ave & 81st St,41.7464215265,-87.6825947943421,11,24,35
654,Public Rack - Racine Ave & 83rd St,41.8830726394999,-87.6569592628716,7935,3175,11110
20121,Loomis Blvd & 84th St,41.7414893981318,-87.6584107817511,26,366,392
640,Public Rack - Morgan St & 87th St,41.735851757875,-87.64813875175,11,74,85
1027,Public Rack - Fairfield Ave & 63rd St,41.77926,-87.692703,2,8,10
1028,Public Rack - Whipple St & 63rd St,41.7788920269444,-87.6998511506111,42,202,244
21403,Kildare Ave & 55th St,41.7933246976792,-87.7305927885225,92,296,388
23128,Columbus Ave & 79th St,41.7491228726361,-87.7042618206769,27,139,166
1032,Public Rack - Kedvale Ave & 63rd St W,41.7787447013604,-87.7268883669144,324,35,359
1037,Public Rack - Homan Ave & 62nd Pl,41.779668,-87.707834,95,57,152
1038,Public Rack - Kedzie Ave & 62nd Pl,41.7801238253333,-87.7033147985,4,7,11
1039,Public Rack - Kedzie Ave & 61st Pl W,41.78201,-87.7034,4,2,6
13091,Western Ave & 21st St,41.854086763685,-87.6857924712259,2207,1083,3290
16940,Ashland Ave & 50th St,41.8030229205388,-87.6646988258898,289,128,417
16948,Ashland Ave & 63rd St,41.7793747981667,-87.6648457537037,50,50,100
21346,Kedzie Ave & 57th St,41.7898352588807,-87.7031058686696,276,479,755
21380,Fairfield Ave & 44th St,41.8136145854619,-87.6932258586803,134,282,416
21381,Francisco Ave & 47th St,41.8084896882539,-87.6967291629626,413,395,808
21382,Kedzie Ave & 48th Pl,41.8048385128252,-87.7041985617635,433,759,1192
21384,Kedzie Ave & 52nd St,41.7990583350776,-87.7034266902944,40,113,153
21406,Kostner Ave & 63rd St,41.7787520409866,-87.7324606949735,45,137,182
21407,Tripp Ave & 65th St,41.7749106198963,-87.7288323743538,61,331,392
23139,Kedzie Ave & Redfield Dr,41.7652301472065,-87.7031788289139,42,271,313
23140,California Ave & 71st St,41.76474813769,-87.6931197195108,94,113,207
23143,Kedzie Ave & 66th Pl,41.7725817146187,-87.7030182961804,63,133,196
24266,Kedzie Ave & 54th Pl,41.7943107114029,-87.7034821309723,77,101,178
24289,Midway Orange Line,41.7869161509532,-87.7389199923165,238,618,856
338,California Ave & 36th St,41.8282301,-87.6945422,92,109,201
341,Archer Ave & 43rd St,41.8154907815524,-87.7024251062524,37,63,100
344,Springfield Ave & 47th St,41.8080716426716,-87.7212213587999,74,456,530
346,Kedzie Ave & 57th St,41.7898873934216,-87.7031924825539,34,47,81
347,Komensky Ave & 55th St,41.7932998177157,-87.7242121922173,105,329,434
350,Hamlin Ave & 62nd Pl,41.7799292291195,-87.7178179465639,3,164,167
382,Kedzie Ave & 48th Pl,41.8047448466818,-87.7040995861762,99,157,256
384,Kedzie Ave & 52nd St,41.7990704724815,-87.7034606133889,6,24,30
387,St Louis Ave & 59th St,41.7859414689,-87.710554596,29,23,52
388,Richmond St & 59th St,41.78658252105,-87.6973181205,2,27,29
389,Maplewood Ave & 59th St,41.7863217976692,-87.6874435787513,94,77,171
391,Rockwell St & 63rd St,41.7787911159138,-87.6885873798161,26,51,77
465,Troy Ave & 27th St,41.842650694224,-87.7040194305208,28,36,64
557,Seeley Ave & Garfield Blvd,41.7940906572608,-87.6754798286452,90,103,193
594,Western Blvd & 48th Pl,41.8056608868537,-87.6833904062032,499,539,1038
755,Public Rack - Kedzie Ave & 64th St - SE,41.776985,-87.702916,8,12,20
756,Public Rack - Albany Ave & 63rd St,41.77891401375,-87.700781199,2,3,5
758,Public Rack - Washtenaw Ave & 63rd St,41.7792465406667,-87.69121273,69,126,195
759,Public Rack - Springfield Ave & 63rd St,41.77861191,-87.7189443115,43,160,203
775,Public Rack - Kedzie Ave & 58th St,41.7882718991842,-87.7035692707894,27,25,52
777,Public Rack - Midway Orange Line,41.7858569916571,-87.7380392591859,70,207,277
822,Public Rack - Talman Ave & 51st St,41.8009212605909,-87.6908321460909,52,102,154
